merge_code,date,time block,"planting? 0 = N, 1 = Y",site_code,%corn,mortality,DBT_sample_id,DBT_dinotefuran,DBT_nitenpyram,DBT_thiamethoxam,DBT_clothianidin,DBT_imidacloprid,DBT_acetamiprid,DBT_thiacloprid,Pollen sample_id,FP_dinotefuran,FP_nitenpyram,FP_thiamethoxam,FP_clothianidin,FP_imidacloprid,FP_acetamiprid,FP_thiacloprid,,,,,,,,,,,,,,,,,,,
2015BG429,04/29/2015,1,0,BG,22,0.102369868,DBT_1,< 0.122,< 0.206,< 2.347,161.62,< 0.064,3.28,2.16,FP_1,< 0.040,0.561,< 0.202,3.823,< 0.148,< 0.091,1.004,,,,,,,,,,,,,,,,,,,
2015BG502,05/02/2015,2,1,BG,22,1.721300032,DBT_11,< 0.122,< 0.206,21.88,< 5.024,< 0.064,< 0.556,6.16,FP_11,0.118,< 0.434,3.047,4.247,2.405,0.541,0.407,,,,,,,,,,,,,,,,,,,
2015BG505,05/05/2015,3,1,BG,22,0.850437316,DBT_21,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,< 0.182,FP_21,< 0.040,1.307,24.049,11.804,9.692,1.536,1.809,,,,,,,,,,,,,,,,,,,
2015BG508,05/08/2015,4,1,BG,22,0.582341977,DBT_31,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,2.82,< 0.182,FP_31,< 0.040,< 0.434,8.169,13.628,1.733,0.116,0.294,,,,,,,,,,,,,,,,,,,
2015BG511,05/11/2015,5,0,BG,22,-0.306390696,DBT_41,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,9.47,< 0.182,FP_41,< 0.040,< 0.434,11.7,14.2,4.214,0.382,1.357,,,,,,,,,,,,,,,,,,,
2015BG514,05/14/2015,6,0,BG,22,0.086043156,DBT_51,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,< 0.182,FP_51,< 0.029,0.093,< 0.057,< 0.938,2.016,< 0.047,0.042,,,,,,,,,,,,,,,,,,,
2015BG519,05/19/2015,7,0,BG,22,-0.235155643,DBT_61,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,6.14,< 0.182,FP_61,0.642,< 0.061,4.153,2.285,3.067,0.926,0.304,,,,,,,,,,,,,,,,,,,
2015BG523,05/23/2015,8,0,BG,22,-0.263847347,DBT_71,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,4.48,FP_71,< 0.029,0.811,0.659,< 0.938,3.891,0.548,0.804,,,,,,,,,,,,,,,,,,,
2015BG527,05/27/2015,9,0,BG,22,-0.828728578,DBT_81,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,5.16,6.46,FP_81,0.35,0.691,2.699,< 0.938,1.519,0.434,0.204,,,,,,,,,,,,,,,,,,,
2015BG603,06/03/2015,10,0,BG,22,-0.508889007,DBT_91,16.73,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,< 0.182,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015DS430,05/01/2015,1,0,DS,1,0.3215607,DBT_2,< 0.122,< 0.206,29.04,263.3,< 0.064,< 0.556,5.71,FP_2,< 0.040,0.732,3.448,7.989,0.82,0.783,0.062,,,,,,,,,,,,,,,,,,,
2015DS502,05/02/2015,2,1,DS,1,0.391818048,DBT_12,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,< 0.182,FP_12,0.099,0.945,5.091,5.291,2.039,0.467,0.589,,,,,,,,,,,,,,,,,,,
2015DS505,05/05/2015,3,1,DS,1,1.948025895,DBT_22,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,2.32,FP_22,< 0.040,< 0.434,2.968,7.09,0.701,0.307,< 0.061,,,,,,,,,,,,,,,,,,,
2015DS508,05/08/2015,4,1,DS,1,0.634918525,DBT_32,16.88,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,4.2,FP_32,< 0.040,< 0.434,0.385,10.026,2.873,0.537,0.662,,,,,,,,,,,,,,,,,,,
2015DS511,05/11/2015,5,0,DS,1,-0.112201546,DBT_42,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,6.64,< 0.182,FP_42,< 0.040,< 0.434,< 0.202,1.81,1.456,0.204,2.80E-01,,,,,,,,,,,,,,,,,,,
2015DS514,05/14/2015,6,0,DS,1,1.192019889,DBT_52,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,< 0.182,FP_52,< 0.029,0.291,< 0.057,< 0.938,0.895,2.24E-01,1.97E-01,,,,,,,,,,,,,,,,,,,
2015DS519,05/19/2015,7,0,DS,1,-0.683670064,DBT_62,< 0.122,< 0.206,63.06,< 5.024,< 0.064,< 0.556,24.27,FP_62,0.081,< 0.061,0.611,< 0.938,1.153,0.129,0.278,,,,,,,,,,,,,,,,,,,
2015DS523,05/24/2015,8,0,DS,1,-0.592023335,DBT_80,< 0.122,< 0.206,< 2.347,591.11,< 0.064,< 0.556,< 0.182,FP_72,< 0.029,0.171,0.598,< 0.938,0.527,0.477,0.398,,,,,,,,,,,,,,,,,,,
2015DS527,05/27/2015,9,0,DS,1,-0.922692365,DBT_82,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,6.59,< 0.182,FP_82,0.891,0.08,< 0.057,1.704,5.023,1.614,1.913,,,,,,,,,,,,,,,,,,,
2015DS603,06/03/2015,10,0,DS,1,-0.5588033,DBT_92,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,3.09,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015FSR429,04/29/2015,1,0,FSR,49,-0.608603293,DBT_3,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,< 0.182,FP_3,< 0.040,< 0.434,< 0.202,2.832,0.718,0.213,0.296,,,,,,,,,,,,,,,,,,,
2015FSR502,05/02/2015,2,1,FSR,49,2.182164845,DBT_13,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,< 0.182,FP_13,< 0.040,< 0.434,46.482,91.88,3.567,< 0.091,0.16,,,,,,,,,,,,,,,,,,,
2015FSR505,05/05/2015,3,1,FSR,49,2.886170255,DBT_23,< 0.122,< 0.206,18.82,< 5.024,< 0.064,< 0.556,< 0.182,FP_23,< 0.040,< 0.434,19.051,46.935,4.645,0.631,0.825,,,,,,,,,,,,,,,,,,,
2015FSR508,05/08/2015,4,1,FSR,49,-0.037513187,DBT_33,< 0.122,< 0.206,34.59,< 5.024,< 0.064,< 0.556,< 0.182,FP_33,< 0.040,< 0.434,1.387,2.223,1.49,< 0.091,0.392,,,,,,,,,,,,,,,,,,,
2015FSR511,05/11/2015,5,0,FSR,49,-0.362817519,DBT_43,< 0.122,< 0.206,8.98,< 5.024,< 0.064,< 0.556,< 0.182,FP_43,< 0.040,< 0.434,12.858,17.014,27.844,< 0.091,0.522,,,,,,,,,,,,,,,,,,,
2015FSR514,05/14/2015,6,0,FSR,49,-0.278269481,DBT_53,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,5.94,FP_53,0.062,< 0.061,3.125,< 0.938,1.238,< 0.047,2.16E-01,,,,,,,,,,,,,,,,,,,
2015FSR519,05/19/2015,7,0,FSR,49,-0.514237397,DBT_63,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,13.61,< 0.182,FP_63,0.092,0.652,1.072,1.297,1.67,0.763,0.477,,,,,,,,,,,,,,,,,,,
2015FSR523,05/23/2015,8,0,FSR,49,0.19411609,DBT_72,< 0.122,< 0.206,55.92,< 5.024,< 0.064,< 0.556,< 0.182,FP_73,< 0.029,0.165,0.87,< 0.938,2.638,0.41,0.567,,,,,,,,,,,,,,,,,,,
