merge_code,date,time.block,planting,site_code,per_corn,mortality,DBT_sample_id,DBT_dinotefuran,DBT_nitenpyram,DBT_thiamethoxam,DBT_clothianidin,DBT_imidacloprid,DBT_acetamiprid,DBT_thiacloprid,Pollen.sample_id,FP_dinotefuran,FP_nitenpyram,FP_thiamethoxam,FP_clothianidin,FP_imidacloprid,FP_acetamiprid,FP_thiacloprid,DBT_dinotefuran_detected,DBT_nitenpyram_detected,DBT_thiamethoxam_detected,DBT_clothianidin_detected,DBT_imidacloprid_detected,DBT_acetamiprid_detected,DBT_thiacloprid_detected,FP_dinotefuran_detected,FP_nitenpyram_detected,FP_thiamethoxam_detected,FP_clothianidin_detected,FP_imidacloprid_detected,FP_acetamiprid_detected,FP_thiacloprid_detected,DBT_any_detected,FP_any_detected,DBT_total_neonic,FP_total_neonic
2015BG429,4/29/2015,1,no,BG,22,0.102369868,DBT_1,0.122,0.206,2.347,161.62,0.064,3.28,2.16,FP_1,0.04,0.561,0.202,3.823,0.148,0.091,1.004,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,1,169.799,5.869
2015BG502,5/2/2015,2,yes,BG,22,1.721300032,DBT_11,0.122,0.206,21.88,5.024,0.064,0.556,6.16,FP_11,0.118,0.434,3.047,4.247,2.405,0.541,0.407,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,34.012,11.199
2015BG505,5/5/2015,3,yes,BG,22,0.850437316,DBT_21,0.122,0.206,2.347,5.024,0.064,0.556,0.182,FP_21,0.04,1.307,24.049,11.804,9.692,1.536,1.809,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,8.501,50.237
2015BG508,5/8/2015,4,yes,BG,22,0.582341977,DBT_31,0.122,0.206,2.347,5.024,0.064,2.82,0.182,FP_31,0.04,0.434,8.169,13.628,1.733,0.116,0.294,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,10.765,24.414
2015BG511,5/11/2015,5,no,BG,22,-0.306390696,DBT_41,0.122,0.206,2.347,5.024,0.064,9.47,0.182,FP_41,0.04,0.434,11.7,14.2,4.214,0.382,1.357,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,17.415,32.327
2015BG514,5/14/2015,6,no,BG,22,0.086043156,DBT_51,0.122,0.206,2.347,5.024,0.064,0.556,0.182,FP_51,0.029,0.093,0.057,0.938,2.016,0.047,0.042,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,8.501,3.222
2015BG519,5/19/2015,7,no,BG,22,-0.235155643,DBT_61,0.122,0.206,2.347,5.024,0.064,6.14,0.182,FP_61,0.642,0.061,4.153,2.285,3.067,0.926,0.304,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,14.085,11.438
2015BG523,5/23/2015,8,no,BG,22,-0.263847347,DBT_71,0.122,0.206,2.347,5.024,0.064,0.556,4.48,FP_71,0.029,0.811,0.659,0.938,3.891,0.548,0.804,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,12.799,7.68
2015BG527,5/27/2015,9,no,BG,22,-0.828728578,DBT_81,0.122,0.206,2.347,5.024,0.064,5.16,6.46,FP_81,0.35,0.691,2.699,0.938,1.519,0.434,0.204,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,19.383,6.835
2015BG603,6/3/2015,10,no,BG,22,-0.508889007,DBT_91,16.73,0.206,2.347,5.024,0.064,0.556,0.182,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25.109,NA
