year,site,hive,colony type,date,month,day,julian,ndays,totdays,dead,deadperday,avgdead,mortality,,,,,,,,,,,,,,,
2013,CH,2013CH31,full,429,4,29,4,4,4,26,6.5,28.36170213,-0.770817704,,,,,,,,,,,,,,,
2013,CH,2013CH31,full,502,5,2,7,3,7,87,29,28.36170213,0.022505626,,,,,,,,,,,,,,,
2013,CH,2013CH31,full,506,5,6,11,4,11,67,16.75,28.36170213,-0.409414854,,,,,,,,,,,,,,,
2013,CH,2013CH31,full,509,5,9,14,3,14,160,53.33333333,28.36170213,0.880470118,,,,,,,,,,,,,,,
2013,CH,2013CH31,full,513,5,13,18,4,18,205,51.25,28.36170213,0.807014254,,,,,,,,,,,,,,,
2013,CH,2013CH31,full,516,5,16,21,3,21,190,63.33333333,28.36170213,1.233058265,,,,,,,,,,,,,,,
2013,CH,2013CH31,full,520,5,20,25,4,25,138,34.5,28.36170213,0.216429107,,,,,,,,,,,,,,,
2013,CH,2013CH31,full,524,5,24,29,4,29,90,22.5,28.36170213,-0.206676669,,,,,,,,,,,,,,,
2013,CH,2013CH31,full,527,5,27,32,3,32,50,16.66666667,28.36170213,-0.412353088,,,,,,,,,,,,,,,
2013,CH,2013CH31,full,531,5,31,36,4,36,100,25,28.36170213,-0.118529632,,,,,,,,,,,,,,,
2013,CH,2013CH31,full,604,6,4,40,4,40,42,10.5,28.36170213,-0.629782446,,,,,,,,,,,,,,,
2013,CH,2013CH31,full,608,6,8,44,4,44,130,32.5,28.36170213,0.145911478,,,,,,,,,,,,,,,
2013,CH,2013CH31,full,611,6,11,47,3,47,48,16,28.36170213,-0.435858965,,,,,,,,,,,,,,,
2013,CH,2013CH32,full,429,4,29,4,4,4,21,5.25,29.5106383,-0.822098053,,,,,,,,,,,,,,,
2013,CH,2013CH32,full,502,5,2,7,3,7,12,4,29.5106383,-0.86445566,,,,,,,,,,,,,,,
2013,CH,2013CH32,full,506,5,6,11,4,11,6,1.5,29.5106383,-0.949170872,,,,,,,,,,,,,,,
2013,CH,2013CH32,full,509,5,9,14,3,14,140,46.66666667,29.5106383,0.581350637,,,,,,,,,,,,,,,
2013,CH,2013CH32,full,513,5,13,18,4,18,186,46.5,29.5106383,0.575702956,,,,,,,,,,,,,,,
2013,CH,2013CH32,full,516,5,16,21,3,21,70,23.33333333,29.5106383,-0.209324682,,,,,,,,,,,,,,,
2013,CH,2013CH32,full,520,5,20,25,4,25,176,44,29.5106383,0.490987743,,,,,,,,,,,,,,,
2013,CH,2013CH32,full,524,5,24,29,4,29,165,41.25,29.5106383,0.397801009,,,,,,,,,,,,,,,
2013,CH,2013CH32,full,527,5,27,32,3,32,108,36,29.5106383,0.219899063,,,,,,,,,,,,,,,
2013,CH,2013CH32,full,531,5,31,36,4,36,125,31.25,29.5106383,0.058940159,,,,,,,,,,,,,,,
2013,CH,2013CH32,full,604,6,4,40,4,40,138,34.5,29.5106383,0.169069935,,,,,,,,,,,,,,,
2013,CH,2013CH32,full,608,6,8,44,4,44,165,41.25,29.5106383,0.397801009,,,,,,,,,,,,,,,
2013,CH,2013CH32,full,611,6,11,47,3,47,75,25,29.5106383,-0.152847873,,,,,,,,,,,,,,,
2013,CH,2013CH35,package,429,4,29,4,4,4,29,7.25,16.04255319,-0.548076923,,,,,,,,,,,,,,,
2013,CH,2013CH35,package,502,5,2,7,3,7,55,18.33333333,16.04255319,0.142793988,,,,,,,,,,,,,,,
2013,CH,2013CH35,package,506,5,6,11,4,11,47,11.75,16.04255319,-0.267572944,,,,,,,,,,,,,,,
2013,CH,2013CH35,package,509,5,9,14,3,14,77,25.66666667,16.04255319,0.599911583,,,,,,,,,,,,,,,
2013,CH,2013CH35,package,513,5,13,18,4,18,25,6.25,16.04255319,-0.610411141,,,,,,,,,,,,,,,
2013,CH,2013CH35,package,516,5,16,21,3,21,25,8.333333333,16.04255319,-0.480548187,,,,,,,,,,,,,,,
2013,CH,2013CH35,package,520,5,20,25,4,25,61,15.25,16.04255319,-0.049403183,,,,,,,,,,,,,,,
2013,CH,2013CH35,package,524,5,24,29,4,29,272,68,16.04255319,3.23872679,,,,,,,,,,,,,,,
2013,CH,2013CH35,package,527,5,27,32,3,32,17,5.666666667,16.04255319,-0.646772767,,,,,,,,,,,,,,,
2013,CH,2013CH35,package,531,5,31,36,4,36,29,7.25,16.04255319,-0.548076923,,,,,,,,,,,,,,,
2013,CH,2013CH35,package,604,6,4,40,4,40,37,9.25,16.04255319,-0.423408488,,,,,,,,,,,,,,,
2013,CH,2013CH35,package,608,6,8,44,4,44,50,12.5,16.04255319,-0.220822281,,,,,,,,,,,,,,,
2013,CH,2013CH35,package,611,6,11,47,3,47,30,10,16.04255319,-0.376657825,,,,,,,,,,,,,,,
2013,CH,2013CH36,package,429,4,29,4,4,4,40,10,22.44680851,-0.55450237,,,,,,,,,,,,,,,
2013,CH,2013CH36,package,502,5,2,7,3,7,16,5.333333333,22.44680851,-0.762401264,,,,,,,,,,,,,,,
2013,CH,2013CH36,package,506,5,6,11,4,11,52,13,22.44680851,-0.420853081,,,,,,,,,,,,,,,
2013,CH,2013CH36,package,509,5,9,14,3,14,260,86.66666667,22.44680851,2.860979463,,,,,,,,,,,,,,,
2013,CH,2013CH36,package,513,5,13,18,4,18,165,41.25,22.44680851,0.837677725,,,,,,,,,,,,,,,
2013,CH,2013CH36,package,516,5,16,21,3,21,60,20,22.44680851,-0.109004739,,,,,,,,,,,,,,,
2013,CH,2013CH36,package,520,5,20,25,4,25,113,28.25,22.44680851,0.258530806,,,,,,,,,,,,,,,
2013,CH,2013CH36,package,524,5,24,29,4,29,100,25,22.44680851,0.113744076,,,,,,,,,,,,,,,
2013,CH,2013CH36,package,527,5,27,32,3,32,32,10.66666667,22.44680851,-0.524802528,,,,,,,,,,,,,,,
2013,CH,2013CH36,package,531,5,31,36,4,36,52,13,22.44680851,-0.420853081,,,,,,,,,,,,,,,
2013,CH,2013CH36,package,604,6,4,40,4,40,72,18,22.44680851,-0.198104265,,,,,,,,,,,,,,,
2013,CH,2013CH36,package,608,6,8,44,4,44,65,16.25,22.44680851,-0.276066351,,,,,,,,,,,,,,,
2013,CH,2013CH36,package,611,6,11,47,3,47,28,9.333333333,22.44680851,-0.584202212,,,,,,,,,,,,,,,
2013,FSR,2013FSR21,full,429,4,29,4,4,4,134,33.5,163.1914894,-0.794719687,,,,,,,,,,,,,,,
2013,FSR,2013FSR21,full,502,5,2,7,3,7,280,93.33333333,163.1914894,-0.42807475,,,,,,,,,,,,,,,
2013,FSR,2013FSR21,full,506,5,6,11,4,11,250,62.5,163.1914894,-0.617014342,,,,,,,,,,,,,,,
2013,FSR,2013FSR21,full,509,5,9,14,3,14,260,86.66666667,163.1914894,-0.468926554,,,,,,,,,,,,,,,
2013,FSR,2013FSR21,full,513,5,13,18,4,18,620,155,163.1914894,-0.050195567,,,,,,,,,,,,,,,
2013,FSR,2013FSR21,full,516,5,16,21,3,21,418,139.3333333,163.1914894,-0.146197306,,,,,,,,,,,,,,,
2013,FSR,2013FSR21,full,520,5,20,25,4,25,1011,252.75,163.1914894,0.548794003,,,,,,,,,,,,,,,
2013,FSR,2013FSR21,full,524,5,24,29,4,29,776,194,163.1914894,0.188787484,,,,,,,,,,,,,,,
2013,FSR,2013FSR21,full,527,5,27,32,3,32,890,296.6666667,163.1914894,0.817905259,,,,,,,,,,,,,,,
2013,FSR,2013FSR21,full,531,5,31,36,4,36,946,236.5,163.1914894,0.449217731,,,,,,,,,,,,,,,
2013,FSR,2013FSR21,full,604,6,4,40,4,40,773,193.25,163.1914894,0.184191656,,,,,,,,,,,,,,,
2013,FSR,2013FSR21,full,608,6,8,44,4,44,792,198,163.1914894,0.213298566,,,,,,,,,,,,,,,
2013,FSR,2013FSR21,full,611,6,11,47,3,47,520,173.3333333,163.1914894,0.062146893,,,,,,,,,,,,,,,
2013,FSR,2013FSR22,full,429,4,29,4,4,4,91,22.75,73.72340426,-0.691414141,,,,,,,,,,,,,,,
2013,FSR,2013FSR22,full,502,5,2,7,3,7,70,23.33333333,73.72340426,-0.683501684,,,,,,,,,,,,,,,
2013,FSR,2013FSR22,full,506,5,6,11,4,11,180,45,73.72340426,-0.38961039,,,,,,,,,,,,,,,
2013,FSR,2013FSR22,full,509,5,9,14,3,14,280,93.33333333,73.72340426,0.265993266,,,,,,,,,,,,,,,
2013,FSR,2013FSR22,full,513,5,13,18,4,18,485,121.25,73.72340426,0.644660895,,,,,,,,,,,,,,,
2013,FSR,2013FSR22,full,516,5,16,21,3,21,285,95,73.72340426,0.288600289,,,,,,,,,,,,,,,
2013,FSR,2013FSR22,full,520,5,20,25,4,25,327,81.75,73.72340426,0.108874459,,,,,,,,,,,,,,,
2013,FSR,2013FSR22,full,524,5,24,29,4,29,370,92.5,73.72340426,0.254689755,,,,,,,,,,,,,,,
2013,FSR,2013FSR22,full,527,5,27,32,3,32,370,123.3333333,73.72340426,0.672919673,,,,,,,,,,,,,,,
2013,FSR,2013FSR22,full,531,5,31,36,4,36,230,57.5,73.72340426,-0.22005772,,,,,,,,,,,,,,,
2013,FSR,2013FSR22,full,604,6,4,40,4,40,350,87.5,73.72340426,0.186868687,,,,,,,,,,,,,,,
2013,FSR,2013FSR22,full,608,6,8,44,4,44,232,58,73.72340426,-0.213275613,,,,,,,,,,,,,,,
2013,FSR,2013FSR22,full,611,6,11,47,3,47,195,65,73.72340426,-0.118326118,,,,,,,,,,,,,,,
2013,FSR,2013FSR25,package,429,4,29,4,4,4,14,3.5,12.29787234,-0.715397924,,,,,,,,,,,,,,,
2013,FSR,2013FSR25,package,502,5,2,7,3,7,129,43,12.29787234,2.496539792,,,,,,,,,,,,,,,
2013,FSR,2013FSR25,package,506,5,6,11,4,11,85,21.25,12.29787234,0.727941176,,,,,,,,,,,,,,,
2013,FSR,2013FSR25,package,509,5,9,14,3,14,72,24,12.29787234,0.951557093,,,,,,,,,,,,,,,
2013,FSR,2013FSR25,package,513,5,13,18,4,18,140,35,12.29787234,1.846020761,,,,,,,,,,,,,,,
2013,FSR,2013FSR25,package,516,5,16,21,3,21,30,10,12.29787234,-0.186851211,,,,,,,,,,,,,,,
