"","site_code","mean_thi_may","mean_clo_may","mean_total_may","mean_thi_planting","mean_clo_planting","mean_total_planting","hive_no","per_corn","dailymortality_plt","daily_mort_may","seams_bees_4","bees_cm2_4","capped_cm2_4","open_cm2_4","pollen_cm2_4","nectar_cm2_4","empty_cm2_4","fondation_cm2_4","total_comb_4","capped_per_comb_4","open_per_comb_4","pollen_per_comb_4","nectar_per_comb_4","empty_per_comb_4","drone_cm2_4","seams_bees_5","bees_cm2_5","capped_cm2_5","open_cm2_5","pollen_cm2_5","nectar_cm2_5","empty_cm2_5","fondation_cm2_5","total_comb_5","capped_per_comb_5","open_per_comb_5","pollen_per_comb_5","nectar_per_comb_5","empty_per_comb_5","drone_cm2_5","seams_bees_6","bees_cm2_6","capped_cm2_6","open_cm2_6","pollen_cm2_6","nectar_cm2_6","empty_cm2_6","fondation_cm2_6","total_comb_6","capped_per_comb_6","open_per_comb_6","pollen_per_comb_6","nectar_per_comb_6","empty_per_comb_6","drone_cm2_6","seams_bees_8","bees_cm2_8","capped_cm2_8","open_cm2_8","pollen_cm2_8","nectar_cm2_8","empty_cm2_8","fondation_cm2_8","total_comb_8","capped_per_comb_8","open_per_comb_8","pollen_per_comb_8","nectar_per_comb_8","empty_per_comb_8","drone_cm2_8","seams_bees_pchg_total","bees_cm2_pchg_total","capped_cm2_pchg_total","open_cm2_pchg_total","pollen_cm2_pchg_total","nectar_cm2_pchg_total","empty_cm2_pchg_total","fondation_cm2_pchg_total","total_comb_pchg_total","capped_per_comb_pchg_total","open_per_comb_pchg_total","pollen_per_comb_pchg_total","nectar_per_comb_pchg_total","empty_per_comb_pchg_total","drone_cm2_pchg_total","seams_bees_initial","bees_cm2_initial","capped_cm2_initial","open_cm2_initial","pollen_cm2_initial","nectar_cm2_initial","empty_cm2_initial","fondation_cm2_initial","total_comb_initial","capped_per_comb_initial","open_per_comb_initial","pollen_per_comb_initial","nectar_per_comb_initial","empty_per_comb_initial","drone_cm2_initial"
"1","BG",39.8,24,55.5,58.3333333333333,26.3333333333333,39.6666666666667,60,22,1.051359775,0.119948108,34,12868.6,7502.12,6242.64,4107,7337.84,29077.56,3559.4,54267.16,13.82,11.5,7.57,13.52,53.58,0,26,7447.36,2518.96,109.52,2738,31103.68,22506.36,10678.2,58976.52,4.27,0.19,4.64,52.74,38.16,109.52,10,1916.6,383.32,0,3504.64,3778.44,33655.496,4676.504,41321.896,0.93,0,8.48,9.14,81.45,109.52,13,7830.68,1533.28,383.32,3559.4,3997.48,34969.736,2869.424,44443.216,3.45,0.86,8.01,8.99,78.68,109.52,-61.7647058823529,-39.1489361702128,-79.5620437956204,-93.859649122807,-13.3333333333333,-45.5223880597015,20.2636534839925,-19.3846153846154,-18.1029263370333,-75.0361794500724,-92.5217391304348,5.8124174372523,-33.5059171597633,46.8458379992535,NA,34,12868.6,7502.12,6242.64,4107,7337.84,29077.56,3559.4,54267.16,13.82,11.5,7.57,13.52,53.58,0
"2","BG",39.8,24,55.5,58.3333333333333,26.3333333333333,39.6666666666667,59,22,1.051359775,0.119948108,27,12375.76,6735.48,6023.6,5092.68,7885.44,24477.72,6297.4,50214.92,13.41,12,10.14,15.7,48.75,0,28,11444.84,3121.32,547.6,2026.12,30118,19494.56,6461.68,55307.6,5.64,0.99,3.66,54.46,35.25,164.28,22,11444.84,4654.6,3121.32,4818.88,9802.04,29898.96,3449.88,52295.8,8.9,5.97,9.21,18.74,57.17,273.8,36,24751.52,5859.32,5804.56,9144.92,26777.64,10952,12978.12,58538.44,10.01,9.92,15.62,45.74,18.71,0,33.3333333333333,100,-13.0081300813008,-3.63636363636364,79.5698924731183,239.583333333333,-55.2572706935123,106.086956521739,16.5757906215922,-25.3542132736764,-17.3333333333333,54.043392504931,191.337579617834,-61.6205128205128,NA,27,12375.76,6735.48,6023.6,5092.68,7885.44,24477.72,6297.4,50214.92,13.41,12,10.14,15.7,48.75,0
"3","DS",26.8,26.8,36.6,39.3333333333333,37.6666666666667,17.6666666666667,33,1,0.991587489,0.161895245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,24751.52,5530.76,2026.12,3668.92,22396.84,8706.84,11554.36,42329.48,13.07,4.79,8.67,52.91,20.57,766.64,19,26175.28,3778.44,273.8,4983.16,32144.12,9090.16,12813.84,50269.68,7.52,0.54,9.91,63.94,18.08,492.84,17,19330.28,5640.28,3614.16,2792.76,8268.76,14128.08,7611.64,34444.04,16.38,10.49,8.11,24.01,41.02,54.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","DS",26.8,26.8,36.6,39.3333333333333,37.6666666666667,17.6666666666667,31,1,0.991587489,0.161895245,16,15332.8,6571.2,3559.4,3532.02,4654.6,14429.26,9309.2,32746.48,20.07,10.87,10.79,14.21,44.06,0,25,23273,8487.8,3887.96,2847.52,14018.56,4161.76,20480.24,33403.6,25.41,11.64,8.52,41.97,12.46,328.56,7,8159.24,985.68,273.8,1861.84,10459.16,9703.472,18771.728,23283.952,4.23,1.18,8,44.92,41.67,0,10,13142.4,3176.08,1697.56,1423.76,4545.08,12671.464,18541.736,23513.944,13.51,7.22,6.05,19.33,53.89,164.28,-37.5,-14.2857142857143,-51.6666666666667,-52.3076923076923,-59.6899224806202,-2.3529411764706,-12.1821631878558,99.1764705882353,-28.1939799331104,-32.6856003986049,-33.5786568537258,-43.9295644114921,36.0309641097818,22.3104857013164,NA,16,15332.8,6571.2,3559.4,3532.02,4654.6,14429.26,9309.2,32746.48,20.07,10.87,10.79,14.21,44.06,0
"5","DS",26.8,26.8,36.6,39.3333333333333,37.6666666666667,17.6666666666667,32,1,0.991587489,0.161895245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,15661.36,109.52,2026.12,2792.76,11609.12,7951.152,17731.288,24488.672,0.45,8.27,11.4,47.41,32.47,273.8,13,22013.52,6845,3942.72,766.64,109.52,11915.776,18476.024,23579.656,29.03,16.72,3.25,0.46,50.53,164.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","FSR",30.6,27.3,63.7,40,46,62,21,49,1.676940638,0.173394478,5,6461.68,2026.12,1533.28,383.32,1642.8,8706.84,1478.52,14292.36,14.18,10.73,2.68,11.49,60.92,0,8,8214,4654.6,3011.8,876.16,6133.12,13503.816,3362.264,28179.496,16.52,10.69,3.11,21.76,47.92,219.04,17,22068.28,8542.56,5037.92,492.84,10349.64,8652.08,8980.64,33075.04,25.83,15.23,1.49,31.29,26.16,985.68,18,21630.2,5421.24,4161.76,6899.76,22177.8,6845,7064.04,45505.56,11.91,9.15,15.16,48.74,15.04,492.84,260,234.745762711864,167.567567567568,171.428571428571,1700,1250,-21.3836477987421,377.777777777778,218.390804597701,-16.0084626234133,-14.7250698974837,465.671641791045,324.194952132289,-75.311884438608,NA,5,6461.68,2026.12,1533.28,383.32,1642.8,8706.84,1478.52,14292.36,14.18,10.73,2.68,11.49,60.92,0
"7","FSR",30.6,27.3,63.7,40,46,62,8,49,1.676940638,0.173394478,5,5695.04,766.64,328.56,54.76,2628.48,8214,3778.44,11992.44,6.39,2.74,0.46,21.92,68.49,0,9,6954.52,4709.36,2518.96,657.12,5202.2,13339.536,5114.584,26427.176,17.82,9.53,2.49,19.69,50.48,54.76,18,29953.72,7994.96,3559.4,2847.52,13416.2,6165.976,8071.624,33984.056,23.53,10.47,8.38,39.48,18.14,657.12,19,22123.04,3833.2,821.4,6297.4,29351.36,10842.48,1369,51145.84,7.49,1.61,12.31,57.39,21.2,0,280,288.461538461538,400,150,11400,1016.66666666667,32,-63.768115942029,326.48401826484,17.2143974960876,-41.2408759124088,2576.08695652174,161.815693430657,-69.0465761425025,NA,5,5695.04,766.64,328.56,54.76,2628.48,8214,3778.44,11992.44,6.39,2.74,0.46,21.92,68.49,0
"8","FSR",30.6,27.3,63.7,40,46,62,27,49,1.676940638,0.173394478,15,7556.88,3723.68,2573.72,766.64,5640.28,12649.56,6187.88,25353.88,14.69,10.15,3.02,22.25,49.89,0,14,10240.12,6899.76,3449.88,1752.32,10404.4,7173.56,14237.6,29679.92,23.25,11.62,5.9,35.06,24.17,492.84,20,18235.08,7666.4,3887.96,2464.2,26120.52,6845,5585.52,46984.08,16.32,8.28,5.24,55.59,14.57,821.4,19,11061.52,5695.04,3176.08,5968.84,35484.48,11663.88,6406.92,61988.32,9.19,5.12,9.63,57.24,18.82,602.36,26.6666666666667,46.3768115942029,52.9411764705882,23.4042553191489,678.571428571429,529.126213592233,-7.79220779220779,3.53982300884956,144.492440604752,-37.4404356705242,-49.5566502463054,218.87417218543,157.258426966292,-62.2770094207256,NA,15,7556.88,3723.68,2573.72,766.64,5640.28,12649.56,6187.88,25353.88,14.69,10.15,3.02,22.25,49.89,0
"9","FSR",30.6,27.3,63.7,40,46,62,9,49,1.676940638,0.173394478,5,6899.76,766.64,1642.8,219.04,4326.04,5202.2,3614.16,12156.72,6.31,13.51,1.8,35.59,42.79,0,7,7009.28,3778.44,2847.52,766.64,5804.56,11861.016,6483.584,25058.176,15.08,11.36,3.06,23.16,47.33,0,17,23546.8,5092.68,3066.56,2409.44,17358.92,4380.8,9747.28,32308.4,15.76,9.49,7.46,53.73,13.56,657.12,16,16975.6,3942.72,1314.24,6680.72,30446.56,5618.376,4566.984,48002.616,8.21,2.74,13.92,63.43,11.7,219.04,220,146.031746031746,414.285714285714,-20,2950,603.79746835443,8.00000000000001,26.3636363636364,294.864864864865,30.1109350237718,-79.7187268689859,673.333333333333,78.2242202865973,-72.6571628885254,NA,5,6899.76,766.64,1642.8,219.04,4326.04,5202.2,3614.16,12156.72,6.31,13.51,1.8,35.59,42.79,0
"10","HR",27.3,27.9,50.1,31,26.6666666666667,45,54,30,0.959180946,0.005853495,9,7009.28,1588.04,3614.16,547.6,1807.08,21356.4,9199.68,28913.28,5.49,12.5,1.89,6.25,73.86,0,13,5968.84,5804.56,3011.8,1642.8,10623.44,10021.08,7009.28,31103.68,18.66,9.68,5.28,34.15,32.22,0,19,14949.48,7118.8,3833.2,3230.84,6735.48,16263.72,930.92,37182.04,19.15,10.31,8.69,18.11,43.74,547.6,19,24422.96,4545.08,3504.64,4216.52,273.8,23601.56,657.12,36141.6,12.58,9.7,11.67,0.76,65.3,0,111.111111111111,248.4375,186.206896551724,-3.03030303030303,670,-84.8484848484848,10.5128205128205,-92.8571428571428,25,129.143897996357,-22.4,517.460317460317,-87.84,-11.5894936366098,NA,9,7009.28,1588.04,3614.16,547.6,1807.08,21356.4,9199.68,28913.28,5.49,12.5,1.89,6.25,73.86,0
