yr_site,site_abv,% corn,daily mortality_plt,daily_mort_may,Hive_No,Interval ,seam_chg,bee_chg,cap_chg,open_chg,pollen_chg,nectar_chg
2015MO,MO,0.39,0.8908851207,0.1168090713,1,1,7,6516.44,2190.4,164.28,2190.4,2026.12
2015MO,MO,0.39,0.8908851207,0.1168090713,2,1,5,6845,547.6,1861.84,1697.56,2026.12
2015SC,SC,0.08,0.5578958017,0.0858694959,3,1,4,1314.24,-164.28,2464.2,0,1642.8
2015SC,SC,0.08,0.5578958017,0.0858694959,4,1,5,2080.88,1259.48,1752.32,2135.64,1149.96
2015HR,HR,0.3,0.959180946,0.0058534951,5,1,3,2847.52,1861.84,1369,-273.8,2409.44
2015HR,HR,0.3,0.959180946,0.0058534951,6,1,6,2573.72,3011.8,2683.24,383.32,2683.24
2015FSR,FSR,0.49,1.676940638,0.1733944779,8,1,4,1259.48,3942.72,2190.4,602.36,2573.72
2015FSR,FSR,0.49,1.676940638,0.1733944779,9,1,2,109.52,3011.8,1204.72,547.6,1478.52
2015MB,MB,0.19,0.630509924,0.0933888412,10,1,6,1588.04,3066.56,2628.48,492.84,2299.92
2015MB,MB,0.19,0.630509924,0.0933888412,11,1,3,1149.96,4107,930.92,0,1149.96
2015WB,WB,0.3,0.3289819997,0.0909123122,12,1,1,602.36,3230.84,1752.32,-383.32,492.84
2015WB,WB,0.3,0.3289819997,0.0909123122,13,1,5,-54.76,4545.08,1588.04,-109.52,3833.2
2015MO,MO,0.39,0.8908851207,0.1168090713,16,1,7,9747.28,4818.88,-1588.04,2135.64,1095.2
2015SC,SC,0.08,0.5578958017,0.0858694959,17,1,1,2245.16,766.64,492.84,-109.52,2518.96
2015HR,HR,0.3,0.959180946,0.0058534951,20,1,4,602.36,2792.76,2135.64,219.04,3942.72
2015FSR,FSR,0.49,1.676940638,0.1733944779,21,1,3,1752.32,2628.48,1478.52,492.84,4490.32
2015MB,MB,0.19,0.630509924,0.0933888412,23,1,5,4107,3942.72,1149.96,109.52,328.56
2015WB,WB,0.3,0.3289819997,0.0909123122,26,1,-2,-876.16,766.64,1040.44,1040.44,2190.4
2015FSR,FSR,0.49,1.676940638,0.1733944779,27,1,-1,2683.24,3176.08,876.16,985.68,4764.12
2015WB,WB,0.3,0.3289819997,0.0909123122,28,1,11,3230.84,1314.24,-219.04,657.12,16920.84
2015DS,DS,0.01,0.9915874893,0.1618952447,31,1,9,7940.2,1916.6,328.56,-684.5,9363.96
2015MB,MB,0.19,0.630509924,0.0933888412,36,1,11,2518.96,2245.16,1971.36,-492.84,13799.52
2015MO,MO,0.39,0.8908851207,0.1168090713,37,1,10,16482.76,3066.56,109.52,2026.12,5037.92
2015MO,MO,0.39,0.8908851207,0.1168090713,39,1,-2,3340.36,-2464.2,-1861.84,1314.24,3395.12
2015MO,MO,0.39,0.8908851207,0.1168090713,40,1,4,4928.4,54.76,985.68,876.16,3395.12
2015SC,SC,0.08,0.5578958017,0.0858694959,45,1,0,-1314.24,0,711.88,3395.12,7666.4
