site_abv,Interval,no. of hives,Mean(% corn),SumClo_plt,SumClo_all,SumCT_plt,SumCT_all,SumNeo_all,Mean(daily mortality_plt),Mean(daily_mort_may),Mean(seam_chg),Mean(bee_chg),Mean(cap_chg),Mean(open_chg),Mean(pollen_chg),Mean(nectar_chg)
BG,1,2,0.22,29.679,49.987,64.944,103.804,132.341,1.051359775,0.119948108,-3.5,-3176.08,-4298.66,-5804.56,-2217.78,22999.2
BG,2,2,0.22,29.679,49.987,64.944,103.804,132.341,1.051359775,0.119948108,-11,-2765.38,-301.18,1232.1,1779.7,-23820.6
BG,3,2,0.22,29.679,49.987,64.944,103.804,132.341,1.051359775,0.119948108,8.5,9610.38,1177.34,1533.28,2190.4,8597.32
DS,1,1,0.01,22.407,33.91,30.466,45.417,57.961,0.991587489,0.161895245,9,7940.2,1916.6,328.56,-684.5,9363.96
DS,2,1,0.01,22.407,33.91,30.466,45.417,57.961,0.991587489,0.161895245,-4,1423.76,-1752.32,-1752.32,1314.24,9747.28
DS,3,3,0.01,22.407,33.91,30.466,45.417,57.961,0.991587489,0.161895245,1.333333333,1496.773333,3595.906667,2226.906667,-1551.533333,-13763.01333
FSR,1,4,0.49,141.038,162.181,207.958,246.156,299.906,1.676940638,0.173394478,2,1451.14,3189.77,1437.45,657.12,3326.67
FSR,2,4,0.49,141.038,162.181,207.958,246.156,299.906,1.676940638,0.173394478,8.5,15346.49,2313.61,930.92,1040.44,9925.25
FSR,3,4,0.49,141.038,162.181,207.958,246.156,299.906,1.676940638,0.173394478,0,-5503.38,-2601.1,-1519.59,4408.18,12553.73
HR,1,6,0.3,65.278,83.361,83.949,108.02,134.271,0.959180946,0.005853495,2.5,-164.28,1478.52,839.6533333,136.9,5238.706667
HR,2,3,0.3,65.278,83.361,83.949,108.02,134.271,0.959180946,0.005853495,5,6461.68,292.0533333,-1788.826667,1788.826667,1314.24
HR,3,3,0.3,65.278,83.361,83.949,108.02,134.271,0.959180946,0.005853495,2.666666667,2117.386667,18.25333333,1953.106667,3285.6,4545.08
IB,1,2,0.22,23.997,38.153,35.494,70.949,87.235,0.567821225,0.055341812,5,-1505.9,-2190.4,-2327.3,54.76,13772.14
IB,2,2,0.22,23.997,38.153,35.494,70.949,87.235,0.567821225,0.055341812,-1,1588.04,4490.32,903.54,2026.12,-3395.12
IB,3,2,0.22,23.997,38.153,35.494,70.949,87.235,0.567821225,0.055341812,9,13388.82,-2217.78,1505.9,2163.02,11280.56
MB,1,4,0.19,31.788,53.696,43.743,71.869,92.338,0.630509924,0.093388841,6.25,2340.99,3340.36,1670.18,27.38,4394.49
MB,2,4,0.19,31.788,53.696,43.743,71.869,92.338,0.630509924,0.093388841,4,13676.31,2354.68,95.83,3148.7,1259.48
MB,3,4,0.19,31.788,53.696,43.743,71.869,92.338,0.630509924,0.093388841,-1.25,-4216.52,-2683.24,-944.61,-451.77,2067.19
MO,1,6,0.39,41.88,55.379,49.694,68.697,99.213,0.890885121,0.116809071,5.166666667,7976.706667,1369,-54.76,1706.686667,2829.266667
MO,2,6,0.39,41.88,55.379,49.694,68.697,99.213,0.890885121,0.116809071,3.166666667,2208.653333,2080.88,2090.006667,940.0466667,4408.18
MO,3,6,0.39,41.88,55.379,49.694,68.697,99.213,0.890885121,0.116809071,0.5,-921.7933333,-2856.646667,-675.3733333,876.16,11819.03333
SC,1,6,0.08,64.691,74,72.108,102.366,160.936,0.557895802,0.085869496,1.333333333,647.9933333,483.7133333,63.88666667,967.4266667,4727.613333
SC,2,6,0.08,64.691,74,72.108,102.366,160.936,0.557895802,0.085869496,3.5,967.4266667,374.1933333,-100.3933333,949.1733333,-2153.893333
SC,3,6,0.08,64.691,74,72.108,102.366,160.936,0.557895802,0.085869496,-2.833333333,3504.64,-766.64,-921.7933333,474.5866667,8825.486667
TV,1,2,0.31,60.84,83.34,81.948,114.216,130.058,0.951703623,0.112411043,-5,-6968.21,-547.6,1588.04,1095.2,6420.61
TV,2,2,0.31,60.84,83.34,81.948,114.216,130.058,0.951703623,0.112411043,1.5,82.14,1067.82,520.22,-301.18,-5777.18
TV,3,2,0.31,60.84,83.34,81.948,114.216,130.058,0.951703623,0.112411043,11,12430.52,1533.28,848.78,3176.08,16044.68
WB,1,4,0.3,33.888,54.468,68.047,112.02,138.153,0.328982,0.090912312,3.75,725.57,2464.2,1040.44,301.18,5859.32
WB,2,4,0.3,33.888,54.468,68.047,112.02,138.153,0.328982,0.090912312,2.75,15223.28,574.98,-1232.1,889.85,6762.86
WB,3,4,0.3,33.888,54.468,68.047,112.02,138.153,0.328982,0.090912312,-1,-6927.14,-1191.03,-739.26,2354.68,6050.98
