order,year,Site,date,month,day,julian,clothianidin,imidacloprid,thiamethoxam
1,2013,CH,423,4,23,113,,,
2,2013,FSR,423,4,23,113,,,
3,2013,WB,423,4,23,113,,,
4,2013,CH,429,4,29,119,,,
5,2013,FSR,429,4,29,119,,,
6,2013,WB,429,4,29,119,,,
7,2013,CH,502,5,2,122,,,
8,2013,FSR,502,5,2,122,,,
9,2013,WB,502,5,2,122,,,
10,2013,CH,506,5,6,126,15.7,,4.8
11,2013,FSR,506,5,6,126,15,,8.4
12,2013,WB,506,5,6,126,11.9,,5.4
13,2013,CH,509,5,9,129,10.7,,
14,2013,FSR,509,5,9,129,35.5,2.6,9.1
15,2013,WB,509,5,9,129,18.7,,
16,2013,CH,513,5,13,133,24.5,,2.7
17,2013,FSR,513,5,13,133,7.4,,1.6
18,2013,WB,513,5,13,133,13.3,,4.1
19,2013,CH,516,5,16,136,6.9,,
20,2013,FSR,516,5,16,136,4.8,,
21,2013,WB,516,5,16,136,35.1,,8
22,2013,CH,520,5,20,140,,,
23,2013,FSR,520,5,20,140,,,
24,2013,WB,520,5,20,140,3.9,,
25,2013,CH,524,5,24,144,,,
26,2013,FSR,524,5,24,144,,,2.2
27,2013,WB,524,5,24,144,,,
28,2013,CH,527,5,27,147,,,
29,2013,FSR,527,5,27,147,,,
30,2013,WB,527,5,27,147,6.3,,
31,2013,CH,531,5,31,151,,,
32,2013,FSR,531,5,31,151,,,
33,2013,WB,531,5,31,151,,,
34,2014,CH,501,5,1,121,,,
35,2014,FSR,501,5,1,121,,,
36,2014,MB,501,5,1,121,,,
37,2014,NC,501,5,1,121,,,
38,2014,TR,501,5,1,121,,27.5,
39,2014,WB,501,5,1,121,,,
40,2014,CH,503,5,3,123,,,
41,2014,FSR,503,5,3,123,,,
42,2014,MB,503,5,3,123,,,
43,2014,NC,503,5,3,123,,,
44,2014,TR,503,5,3,123,,39.4,
45,2014,WB,503,5,3,123,,,
46,2014,CH,505,5,5,125,,,
47,2014,FSR,505,5,5,125,,,
48,2014,MB,505,5,5,125,,,
49,2014,NC,505,5,5,125,,,
50,2014,TR,505,5,5,125,,11.1,
51,2014,WB,505,5,5,125,,,
52,2014,CH,507,5,7,127,,,
53,2014,FSR,507,5,7,127,,,
54,2014,MB,507,5,7,127,,,
55,2014,NC,507,5,7,127,,,
56,2014,TR,507,5,7,127,14.8,,
57,2014,WB,507,5,7,127,,,9.3
58,2014,CH,509,5,9,129,14.2,,
59,2014,FSR,509,5,9,129,15.3,,5.8
60,2014,MB,509,5,9,129,,,6.6
61,2014,NC,509,5,9,129,,,5.6
62,2014,TR,509,5,9,129,18.4,,
63,2014,WB,509,5,9,129,12,,7.6
64,2014,CH,511,5,11,131,,,
65,2014,FSR,511,5,11,131,,,
66,2014,MB,511,5,11,131,,,
67,2014,NC,511,5,11,131,,,
68,2014,TR,511,5,11,131,,,
69,2014,WB,511,5,11,131,,,
70,2014,CH,513,5,13,133,,,
71,2014,FSR,513,5,13,133,,,
72,2014,MB,513,5,13,133,,,
73,2014,NC,513,5,13,133,,,
74,2014,TR,513,5,13,133,,,
75,2014,WB,513,5,13,133,,,
76,2014,FSR,516,5,16,136,,,
77,2014,MB,516,5,16,136,,,
78,2014,TR,516,5,16,136,,,
79,2014,WB,516,5,16,136,,,
80,2014,CH,519,5,19,139,,,
81,2014,FSR,519,5,19,139,,,
82,2014,MB,519,5,19,139,,,
83,2014,NC,519,5,19,139,,,
84,2014,WB,519,5,19,139,,,
85,2014,CH,522,5,22,142,,,
86,2014,FSR,522,5,22,142,,,
87,2014,MB,522,5,22,142,,,
88,2014,NC,522,5,22,142,,,
89,2014,WB,522,5,22,142,,,
90,2014,CH,524,5,24,144,,,
91,2014,FSR,524,5,24,144,,,
92,2014,MB,524,5,24,144,,,
93,2014,NC,524,5,24,144,,,
94,2014,WB,524,5,24,144,,,
95,2014,CH,526,5,26,146,,,
96,2014,FSR,526,5,26,146,,,
97,2014,MB,526,5,26,146,,,
98,2014,NC,526,5,26,146,,,
99,2014,WB,526,5,26,146,,,
100,2014,CH,530,5,30,150,,,
101,2014,FSR,530,5,30,150,,,
102,2014,MB,530,5,30,150,,,
103,2014,NC,530,5,30,150,,,
104,2014,WB,530,5,30,150,,,
105,2014,CH,603,6,3,154,,,
106,2014,FSR,603,6,3,154,,,
107,2014,MB,603,6,3,154,,,
108,2014,NC,603,6,3,154,,,
109,2014,WB,603,6,3,154,,,
