order,year,date,month,day,julian,site,media,units,dinotefuran,nitenpyram,thiamethoxam,clothianidin,imidacloprid,acetamiprid,thiacloprid
1,2015,04/29/2015,4,29,119,BG,field_pollen,ng/g,,0.561,,3.823,,,1.004
2,2015,05/01/2015,5,1,121,DS,field_pollen,ng/g,,0.732,3.448,7.989,0.82,0.783,0.062
3,2015,04/29/2015,4,29,119,FSR,field_pollen,ng/g,,0.4,,2.832,0.718,0.213,0.296
4,2015,04/29/2015,4,29,119,HR,field_pollen,ng/g,0.976,0.443,,0.819,,,1.037
5,2015,04/29/2015,4,29,119,IB,field_pollen,ng/g,,0.4,2.641,3.747,3.611,0.484,
6,2015,04/30/2015,4,30,120,MC,field_pollen,ng/g,,0.4,,,,0.438,0.822
7,2015,04/29/2015,4,29,119,MM,field_pollen,ng/g,,0.4,1.254,3.897,,0.687,0.605
8,2015,04/29/2015,4,29,119,SC,field_pollen,ng/g,,0.4,,,3.066,,1.018
9,2015,04/29/2015,4,29,119,TV,field_pollen,ng/g,,0.825,2.806,1.761,,,
10,2015,04/30/2015,4,30,120,WB,field_pollen,ng/g,0.925,0.4,7.517,6.35,6.311,1.424,1.674
11,2015,05/02/2015,5,2,122,BG,field_pollen,ng/g,0.118,0.4,3.047,4.247,2.405,0.541,0.407
12,2015,05/02/2015,5,2,122,DS,field_pollen,ng/g,0.099,0.945,5.091,5.291,2.039,0.467,0.589
13,2015,05/02/2015,5,2,122,FSR,field_pollen,ng/g,,0.4,46.482,91.88,3.567,,0.16
14,2015,05/02/2015,5,2,122,HR,field_pollen,ng/g,,0.985,,12.714,0.217,0.268,
15,2015,05/02/2015,5,2,122,IB,field_pollen,ng/g,0.286,0.593,1.547,5.086,2.259,0.559,0.694
16,2015,05/02/2015,5,2,122,MC,field_pollen,ng/g,,0.4,3.673,18.058,4.076,,0.662
17,2015,05/02/2015,5,2,122,MM,field_pollen,ng/g,,0.4,2.716,8.959,1.177,0.253,0.183
18,2015,05/02/2015,5,2,122,SC,field_pollen,ng/g,,0.4,,50.276,10.022,0.804,0.73
19,2015,05/02/2015,5,2,122,TV,field_pollen,ng/g,,0.4,1.672,15.342,2.083,0.314,0.341
20,2015,05/02/2015,5,2,122,WB,field_pollen,ng/g,0.371,0.4,3.596,8.872,2.357,0.416,0.767
21,2015,05/05/2015,5,5,125,BG,field_pollen,ng/g,,1.307,24.049,11.804,9.692,1.536,1.809
22,2015,05/05/2015,5,5,125,DS,field_pollen,ng/g,,0.4,2.968,7.09,0.701,0.307,
23,2015,05/05/2015,5,5,125,FSR,field_pollen,ng/g,,0.4,19.051,46.935,4.645,0.631,0.825
24,2015,05/05/2015,5,5,125,HR,field_pollen,ng/g,,0.4,3.28,17.752,1.411,,
25,2015,05/05/2015,5,5,125,IB,field_pollen,ng/g,,0.4,3.213,10.927,0.797,,0.143
