order,date,year,month,day,julian,site,initialwt,finalwt,units,media,dinotefuran,nitenpyram,thiamethoxam,clothianidin,imidacloprid,acetamiprid,thiacloprid
1,4/29/2015,2015,4,29,119,BG,3,1.99,ng/g,field_pollen,0.04,0.561,0.202,3.823,0.148,0.091,1.004
2,5/1/2015,2015,5,1,121,DS,3,2,ng/g,field_pollen,0.04,0.732,3.448,7.989,0.82,0.783,0.062
3,4/29/2015,2015,4,29,119,FSR,3,1.996,ng/g,field_pollen,0.04,0.434,0.202,2.832,0.718,0.213,0.296
4,4/29/2015,2015,4,29,119,HR,3,1.98,ng/g,field_pollen,0.976,0.443,0.202,0.819,0.148,0.091,1.037
5,4/29/2015,2015,4,29,119,IB,3,1.996,ng/g,field_pollen,0.04,0.434,2.641,3.747,3.611,0.484,6.10E-02
6,4/30/2015,2015,4,30,120,MB,1,0.97,ng/g,field_pollen,0.04,0.434,0.202,0.618,0.148,0.438,0.822
7,4/29/2015,2015,4,29,119,MO,3,2.01,ng/g,field_pollen,0.04,0.434,1.254,3.897,0.148,0.687,0.605
8,4/29/2015,2015,4,29,119,SC,3,1.998,ng/g,field_pollen,0.04,0.434,0.202,0.618,3.066,0.091,1.018
9,4/29/2015,2015,4,29,119,TV,3,1.996,ng/g,field_pollen,0.04,0.825,2.806,1.761,0,0.091,6.10E-02
10,4/30/2015,2015,4,30,120,WB,1,0.953,ng/g,field_pollen,0.925,0.434,7.517,6.35,6.311,1.424,1.674
11,5/2/2015,2015,5,2,122,BG,3,1.506,ng/g,field_pollen,0.118,0.434,3.047,4.247,2.405,0.541,0.407
12,5/2/2015,2015,5,2,122,DS,3,1.51,ng/g,field_pollen,0.099,0.945,5.091,5.291,2.039,0.467,0.589
13,5/2/2015,2015,5,2,122,FSR,3,1.499,ng/g,field_pollen,0.04,0.434,46.482,91.88,3.567,0.091,0.16
14,5/2/2015,2015,5,2,122,HR,3,1.497,ng/g,field_pollen,0.04,0.985,0.202,12.714,0.217,0.268,6.10E-02
15,5/2/2015,2015,5,2,122,IB,3,1.499,ng/g,field_pollen,0.286,0.593,1.547,5.086,2.259,0.559,0.694
16,5/2/2015,2015,5,2,122,MB,3,1.499,ng/g,field_pollen,0.04,0.434,3.673,18.058,4.076,0.091,0.662
17,5/2/2015,2015,5,2,122,MO,3,1.497,ng/g,field_pollen,0.04,0.434,2.716,8.959,1.177,0.253,0.183
18,5/2/2015,2015,5,2,122,SC,3,1.491,ng/g,field_pollen,0.04,0.434,0.202,50.276,10.022,0.804,0.73
19,5/2/2015,2015,5,2,122,TV,3,1.504,ng/g,field_pollen,0.04,0.434,1.672,15.342,2.083,0.314,0.341
20,5/2/2015,2015,5,2,122,WB,3,1.51,ng/g,field_pollen,0.371,0.434,3.596,8.872,2.357,0.416,0.767
21,5/5/2015,2015,5,5,125,BG,3,1.508,ng/g,field_pollen,0.04,1.307,24.049,11.804,9.692,1.536,1.809
22,5/5/2015,2015,5,5,125,DS,3,1.51,ng/g,field_pollen,0.04,0.434,2.968,7.09,0.701,0.307,6.10E-02
23,5/5/2015,2015,5,5,125,FSR,3,1.49,ng/g,field_pollen,0.04,0.434,19.051,46.935,4.645,0.631,0.825
24,5/5/2015,2015,5,5,125,HR,3,1.49,ng/g,field_pollen,0.04,0.434,3.28,17.752,1.411,0.091,6.10E-02
