original_order,osu_run,sample_id,date,site_code,site_abbrv,site,initial_weight,final_weight,units,media,dinotefuran,nitenpyram,thiamethoxam,clothianidin,imidacloprid,acetamiprid,thiacloprid
1,1,FP_1,04/29/2015,BG,BG,Badger,3,1.99,ng/g,field_pollen,< 0.040,0.561,< 0.202,3.823,< 0.148,< 0.091,1.004
2,2,FP_2,05/01/2015,DS,DS,Don Scott,3,2,ng/g,field_pollen,< 0.040,0.732,3.448,7.989,0.82,0.783,0.062
3,3,FP_3,04/29/2015,FSR,FSR,FSR,3,1.996,ng/g,field_pollen,< 0.040,< 0.434,< 0.202,2.832,0.718,0.213,0.296
4,4,FP_4,04/29/2015,HR,HR,Honeyrun,3,1.98,ng/g,field_pollen,0.976,0.443,< 0.202,0.819,< 0.148,< 0.091,1.037
5,5,FP_5,04/29/2015,IB,IB,IB1,3,1.996,ng/g,field_pollen,< 0.040,< 0.434,2.641,3.747,3.611,0.484,< 0.061
6,6,FP_6,04/30/2015,MC,MC,Mechanicsburg,1,0.97,ng/g,field_pollen,< 0.040,< 0.434,< 0.202,< 0.618,< 0.148,0.438,0.822
7,7,FP_7,04/29/2015,MM,MM,Moorman,3,2.01,ng/g,field_pollen,< 0.040,< 0.434,1.254,3.897,< 0.148,0.687,0.605
8,8,FP_8,04/29/2015,SC,SC,Scioto Darby,3,1.998,ng/g,field_pollen,< 0.040,< 0.434,< 0.202,< 0.618,3.066,< 0.091,1.018
9,9,FP_9,04/29/2015,TV,TV,Three Vs,3,1.996,ng/g,field_pollen,< 0.040,0.825,2.806,1.761,< 0.148,< 0.091,< 0.061
10,10,FP_10,04/30/2015,WB,WB,WB,1,0.953,ng/g,field_pollen,0.925,< 0.434,7.517,6.35,6.311,1.424,1.674
11,11,FP_11,05/02/2015,BG,BG,Badger,3,1.506,ng/g,field_pollen,0.118,< 0.434,3.047,4.247,2.405,0.541,0.407
12,12,FP_12,05/02/2015,DS,DS,Don Scott,3,1.51,ng/g,field_pollen,0.099,0.945,5.091,5.291,2.039,0.467,0.589
13,13,FP_13,05/02/2015,FSR,FSR,FSR,3,1.499,ng/g,field_pollen,< 0.040,< 0.434,46.482,91.88,3.567,< 0.091,0.16
14,14,FP_14,05/02/2015,HR,HR,Honeyrun,3,1.497,ng/g,field_pollen,< 0.040,0.985,< 0.202,12.714,0.217,0.268,< 0.061
15,15,FP_15,05/02/2015,IB,IB,IB1,3,1.499,ng/g,field_pollen,0.286,0.593,1.547,5.086,2.259,0.559,0.694
16,16,FP_16,05/02/2015,MC,MC,Mechanicsburg,3,1.499,ng/g,field_pollen,< 0.040,< 0.434,3.673,18.058,4.076,< 0.091,0.662
